Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Currency,Amount,Type,Risk Scoring,Shopper Interaction,Shopper Name,Shopper PAN,Shopper IP,Shopper Country,Issuer Name,Issuer Id,Issuer City,Issuer Country,Acquirer Response,Authorisation Code,Shopper Email,Shopper Reference,3D Directory Response,3D Authentication Response,CVC2 Response,AVS Response,Billing Street,Billing House Number / Name,Billing City,Billing Postal Code / ZIP,Billing State / Province,Billing Country,Delivery Street,Delivery House Number / Name,Delivery City,Delivery Postal Code / ZIP,Delivery State / Province,Delivery Country,Acquirer Reference,Payment Method Variant,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326078862,visa,6/30/17 23:48,CEST,PLN,66.67,Payment,0,Ecommerce,John Doe,5742,89.70.131.115,PL,,430542,,PL,APPROVED,98191,johndoe@gmail.com,27647836,,,1,0,,,,,,,,,,,,,,visadebit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326078790,paypal,6/30/17 23:48,CEST,EUR,55.97,Payment,40,Ecommerce,John Doe,,82.246.107.19,FR,,,,,APPROVED,,johndoe@gmail.com,45646603,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326078903,paypal,6/30/17 23:48,CEST,NOK,399,Payment,0,Ecommerce,John Doe,,84.52.200.64,NO,,,,,APPROVED,,johndoe@gmail.com,32905709,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326078900,mc,6/30/17 23:47,CEST,EUR,29.95,Payment,0,Ecommerce,John Doe,502,79.156.170.55,ES,,548912,,ES,APPROVED,854080,johndoe@gmail.com,22549069,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326078791,paypal,6/30/17 23:47,CEST,EUR,55.97,Payment,0,Ecommerce,John Doe,,81.39.61.2,ES,,,,,APPROVED,,johndoe@gmail.com,40213737,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.71E+15,326078809,paypal,6/30/17 23:47,CEST,EUR,44.96,Payment,40,Ecommerce,John Doe,,88.166.19.91,FR,,,,,APPROVED,,johndoe@gmail.com,16299917,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326078646,visa,6/30/17 23:47,CEST,EUR,55.97,Payment,1,Ecommerce,John Doe,9373,81.164.243.224,BE,,489108,,BE,APPROVED,85632,johndoe@gmail.com,1650761,,,1,0,,,,,,,,,,,,,,visaclassic,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326078807,visa,6/30/17 23:46,CEST,EUR,49.95,Payment,40,Ecommerce,John Doe,7770,89.226.124.6,FR,,497641,,FR,APPROVED,354241,johndoe@gmail.com,39270206,,,1,0,,,,,,,,,,,,,,visadebit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.81E+15,326078788,mc,6/30/17 23:46,CEST,EUR,38.47,Payment,40,Ecommerce,John Doe,6496,86.216.42.127,FR,,513141,,FR,APPROVED,332622,johndoe@gmail.com,29398844,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.81E+15,326078697,visa,6/30/17 23:46,CEST,EUR,59.95,Payment,0,Ecommerce,John Doe,3019,79.157.98.235,ES,,496626,,ES,APPROVED,766263,johndoe@gmail.com,32071417,,,1,0,,,,,,,,,,,,,,visagold,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.81E+15,326078808,visa,6/30/17 23:46,CEST,EUR,55.97,Payment,0,Ecommerce,John Doe,1672,91.153.93.98,FI,,492019,,FI,APPROVED,545004,johndoe@gmail.com,23236809,,,1,0,,,,,,,,,,,,,,visaclassic,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326078857,paypal,6/30/17 23:45,CEST,NOK,349.95,Payment,0,Ecommerce,John Doe,,89.10.243.82,NO,,,,,APPROVED,,johndoe@gmail.com,20576170,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.41E+15,326078691,mc,6/30/17 23:45,CEST,EUR,44.95,Payment,40,Ecommerce,John Doe,4447,190.45.96.129,CL,,510207,,CH,APPROVED,493661,johndoe@gmail.com,10519214,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.71E+15,326078852,amex,6/30/17 23:45,CEST,EUR,55.97,Payment,1,Ecommerce,John Doe,4003,84.120.73.97,ES,,375692,,ES,APPROVED,292875,johndoe@gmail.com,10929539,,,1,6,,,,,,,,,,,,,1.60E+12,amex,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326078856,paypal,6/30/17 23:45,CEST,EUR,49.95,Payment,40,Ecommerce,John Doe,,77.193.132.54,FR,,,,,APPROVED,,johndoe@gmail.com,38417608,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326078854,mc,6/30/17 23:45,CEST,NOK,309.95,Payment,0,Ecommerce,John Doe,7849,80.212.215.90,NO,,526792,,NO,APPROVED,926995,johndoe@gmail.com,19583019,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326078507,paypal,6/30/17 23:06,CEST,EUR,44.95,Payment,0,Ecommerce,John Doe,,83.84.81.244,NL,,,,,APPROVED,,johndoe@gmail.com,19061001,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.41E+15,326077527,paypal,6/30/17 22:01,CEST,EUR,52.47,Payment,0,Ecommerce,John Doe,,91.5.185.138,DE,,,,,APPROVED,,johndoe@gmail.com,21577751,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326077557,ideal,6/30/17 22:01,CEST,EUR,74.95,Payment,0,Ecommerce,John Doe,123456789,82.171.204.220,NL,,,NOT PROVIDED,NL,APPROVED,,johndoe@gmail.com,46354602,,,0,0,,,,,,,,,,,,,,idealrabobank,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326077530,mc,6/30/17 22:00,CEST,EUR,49.95,Payment,0,Ecommerce,John Doe,2284,31.151.72.195,NL,,524886,,NL,APPROVED,79254,johndoe@gmail.com,15711488,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.71E+15,326077601,ideal,6/30/17 22:00,CEST,EUR,49.95,Payment,0,Ecommerce,John Doe,123456789,94.212.57.25,NL,,,NOT PROVIDED,NL,APPROVED,,johndoe@gmail.com,39137113,,,0,0,,,,,,,,,,,,,,idealrabobank,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.71E+15,326077564,mc,6/30/17 22:00,CEST,SEK,496.97,Payment,0,Ecommerce,John Doe,6167,81.233.155.7,SE,,541256,,SE,APPROVED,787014,johndoe@gmail.com,46354346,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.41E+15,326077490,paypal,6/30/17 22:00,CEST,EUR,49.95,Payment,0,Ecommerce,John Doe,,79.233.5.129,DE,,,,,APPROVED,,johndoe@gmail.com,14979703,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326077487,directdebit_NL,6/30/17 22:00,CEST,EUR,55.97,Payment,0,Ecommerce,John Doe,123456789,77.170.216.163,NL,ING Bank,,,NL,UNKNOWN,,johndoe@gmail.com,46354842,,,0,0,,,,,,,,,,,,,,directdebit_NL,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.81E+15,326077604,mc,6/30/17 22:00,CEST,NOK,300.96,Payment,0,Ecommerce,John Doe,9571,81.167.104.59,NO,,540022,,NO,APPROVED,858633,johndoe@gmail.com,12734725,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326077488,paypal,6/30/17 22:00,CEST,CHF,64.95,Payment,0,Ecommerce,John Doe,,82.192.241.139,CH,,,,,APPROVED,,johndoe@gmail.com,46353551,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326077446,elv,6/30/17 21:59,CEST,EUR,19.95,Payment,0,Ecommerce,John Doe,123456789,87.164.131.37,DE,Sparkasse Dí_ren,39550110,Dí_ren,DE,APPROVED,,johndoe@gmail.com,46297943,,,0,0,,,,,,,,,,,,,,elv,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.41E+15,326077521,paypal,6/30/17 21:59,CEST,EUR,52.47,Payment,0,Ecommerce,John Doe,,91.65.26.202,DE,,,,,APPROVED,,johndoe@gmail.com,30335869,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.81E+15,326077560,visa,6/30/17 21:59,CEST,EUR,59,Payment,0,Ecommerce,John Doe,9333,62.158.81.100,DE,,455578,,DE,APPROVED,446175,johndoe@gmail.com,45233240,,,1,0,,,,,,,,,,,,,,visagold,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.41E+15,326077563,mc,6/30/17 21:59,CEST,CHF,47.48,Payment,0,Ecommerce,John Doe,5807,85.4.157.187,CH,,558265,,CH,APPROVED,77827,johndoe@gmail.com,5270646,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.81E+15,326077482,visa,6/30/17 21:59,CEST,DKK,639,Payment,0,Ecommerce,John Doe,4622,80.162.98.238,DK,,457109,,DK,APPROVED,215927,johndoe@gmail.com,46189627,,,1,0,,,,,,,,,,,,,,visadankort,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326077447,paypal,6/30/17 21:58,CEST,EUR,9.95,Payment,0,Ecommerce,John Doe,,91.54.42.161,DE,,,,,APPROVED,,johndoe@gmail.com,46354867,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326077477,paypal,6/30/17 21:58,CEST,EUR,19.95,Payment,0,Ecommerce,John Doe,,80.226.24.5,DE,,,,,APPROVED,,johndoe@gmail.com,46349478,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.41E+15,326077552,mc,6/30/17 21:58,CEST,NOK,943.95,Payment,0,Ecommerce,John Doe,2982,81.167.102.18,NO,,526792,,NO,APPROVED,628861,johndoe@gmail.com,39177831,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.41E+15,326077558,mc,6/30/17 21:58,CEST,EUR,55.97,Payment,0,Ecommerce,John Doe,7520,77.166.133.48,NL,,520953,,NL,APPROVED,51301,johndoe@gmail.com,33387219,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.71E+15,326077473,paypal,6/30/17 21:58,CEST,EUR,52.47,Payment,0,Ecommerce,John Doe,,217.80.106.25,DE,,,,,APPROVED,,johndoe@gmail.com,41552467,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.81E+15,326077551,visa,6/30/17 21:58,CEST,EUR,38.47,Payment,0,Ecommerce,John Doe,8661,84.122.4.197,ES,,496663,,ES,APPROVED,256884,johndoe@gmail.com,18182116,,,1,0,,,,,,,,,,,,,,visagold,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326077379,directEbanking,6/30/17 21:58,CEST,EUR,39.95,Payment,0,Ecommerce,John Doe,123456789,84.193.85.113,BE,ING Belgií‚,377,,BE,APPROVED,,johndoe@gmail.com,30680805,,,0,0,,,,,,,,,,,,,23931-75200-51D08BAD-CBD6,directEbanking,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326077522,directdebit_NL,6/30/17 21:58,CEST,EUR,49.95,Payment,0,Ecommerce,John Doe,123456789,80.60.78.74,NL,ING,,,NL,UNKNOWN,,johndoe@gmail.com,32866081,,,0,0,,,,,,,,,,,,,,directdebit_NL,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.41E+15,326077517,visa,6/30/17 21:58,CEST,EUR,39.98,Payment,40,Ecommerce,John Doe,6216,82.232.46.101,FR,,497886,,FR,APPROVED,855338,johndoe@gmail.com,13172003,,,1,0,,,,,,,,,,,,,,visaclassic,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.81E+15,326077438,visa,6/30/17 21:57,CEST,SEK,624.95,Payment,0,Ecommerce,John Doe,9360,90.228.207.137,SE,,458109,,SE,APPROVED,151577,johndoe@gmail.com,11495170,,,1,0,,,,,,,,,,,,,,visadebit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.41E+15,326077293,directEbanking,6/30/17 21:57,CEST,EUR,59,Payment,0,Ecommerce,John Doe,123456789,62.47.211.49,AT,Raiffeisenbank Judenburg eGen,38368,,AT,APPROVED,,johndoe@gmail.com,44510306,,,0,0,,,,,,,,,,,,,23931-75200-51D08BA0-8AD6,directEbanking,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326077474,visa,6/30/17 21:57,CEST,DKK,419.97,Payment,0,Ecommerce,John Doe,1699,178.155.240.3,DK,,457171,,DK,APPROVED,215752,johndoe@gmail.com,46349426,,,1,0,,,,,,,,,,,,,,visadankort,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.81E+15,326077441,visa,6/30/17 21:57,CEST,CHF,59.95,Payment,1,Ecommerce,John Doe,9473,178.194.105.155,CH,,495034,,CH,APPROVED,16011,johndoe@gmail.com,3636640,,,1,0,,,,,,,,,,,,,,visadebit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.41E+15,326077508,visa,6/30/17 21:57,CEST,SEK,496.97,Payment,0,Ecommerce,John Doe,9644,90.232.17.7,SE,,426388,,SE,APPROVED,991279,johndoe@gmail.com,39485126,,,1,0,,,,,,,,,,,,,,visaclassic,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.41E+15,326077347,mc,6/30/17 21:57,CEST,EUR,59.95,Payment,1,Ecommerce,John Doe,1005,81.244.134.132,BE,,536521,,BE,DECLINED,,johndoe@gmail.com,32058703,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.81E+15,326077512,visa,6/30/17 21:57,CEST,EUR,52.47,Payment,40,Ecommerce,John Doe,4798,151.47.44.91,IT,,456364,,IT,APPROVED,79032,johndoe@gmail.com,44000473,,,1,0,,,,,,,,,,,,,,visaclassic,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.81E+15,326077399,mc,6/30/17 21:57,CEST,SEK,354.95,Payment,0,Ecommerce,John Doe,5007,81.225.124.253,SE,,541256,,SE,APPROVED,650540,johndoe@gmail.com,39511890,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326077509,paypal,6/30/17 21:57,CEST,NOK,409.47,Payment,0,Ecommerce,John Doe,,85.164.97.58,NO,,,,,APPROVED,,johndoe@gmail.com,14727629,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326077468,ideal,6/30/17 21:56,CEST,EUR,55.97,Payment,0,Ecommerce,John Doe,123456789,217.122.129.222,NL,,,NOT PROVIDED,NL,APPROVED,,johndoe@gmail.com,32493560,,,0,0,,,,,,,,,,,,,,idealpostbank,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326077510,elv,6/30/17 21:56,CEST,EUR,69.95,Payment,0,Ecommerce,John Doe,123456789,86.103.22.170,DE,Raiffeisenbank Bad Bramstedt,20069130,24629 Kisdorf,DE,APPROVED,,johndoe@gmail.com,33354266,,,0,0,,,,,,,,,,,,,,elv,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326077461,ideal,6/30/17 21:56,CEST,EUR,55.97,Payment,0,Ecommerce,John Doe,123456789,91.189.98.226,NL,,,NOT PROVIDED,NL,APPROVED,,johndoe@gmail.com,44280808,,,0,0,,,,,,,,,,,,,,idealpostbank,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.41E+15,326077398,mc,6/30/17 21:56,CEST,SEK,265.96,Payment,0,Ecommerce,John Doe,8181,2.248.162.52,SE,,529928,,SE,APPROVED,22196,johndoe@gmail.com,46354761,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326077503,visa,6/30/17 21:56,CEST,EUR,59,Payment,40,Ecommerce,John Doe,9660,82.227.243.233,FR,,497600,,FR,APPROVED,765965,johndoe@gmail.com,20246877,,,1,0,,,,,,,,,,,,,,visaclassic,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.71E+15,326077502,visa,6/30/17 21:56,CEST,NOK,399,Payment,0,Ecommerce,John Doe,5986,83.109.202.120,NO,,427238,,NO,APPROVED,6156,johndoe@gmail.com,36221219,,,1,0,,,,,,,,,,,,,,visadebit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.71E+15,326077397,mc,6/30/17 21:56,CEST,CHF,64.95,Payment,0,Ecommerce,John Doe,7625,178.197.229.46,CH,,513659,,CH,APPROVED,76429,johndoe@gmail.com,39900718,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.81E+15,326077335,visa,6/30/17 21:55,CEST,CHF,69.97,Payment,1,Ecommerce,John Doe,9077,85.5.168.36,CH,,476326,,CH,APPROVED,781270,johndoe@gmail.com,28196759,,,1,0,,,,,,,,,,,,,,visaclassic,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.41E+15,326077465,visa,6/30/17 21:55,CEST,EUR,49.55,Payment,1,Ecommerce,John Doe,7937,87.64.18.186,BE,,489109,,BE,APPROVED,78947,johndoe@gmail.com,46329948,,,1,0,,,,,,,,,,,,,,visaclassic,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.81E+15,326077506,visa,6/30/17 21:55,CEST,NOK,409.47,Payment,0,Ecommerce,John Doe,8884,193.71.105.7,NO,,424327,,NO,APPROVED,456414,johndoe@gmail.com,46354384,,,1,0,,,,,,,,,,,,,,visaclassic,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326077436,mc,6/30/17 21:55,CEST,EUR,69.95,Payment,40,Ecommerce,John Doe,3289,90.34.109.187,FR,,513039,,FR,APPROVED,427248,johndoe@gmail.com,33475371,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326077467,mc,6/30/17 21:55,CEST,EUR,15.9,Payment,0,Ecommerce,John Doe,6306,109.88.226.180,BE,,520697,,BE,APPROVED,78929,johndoe@gmail.com,35118688,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326077432,mc,6/30/17 21:55,CEST,EUR,55.97,Payment,40,Ecommerce,John Doe,2899,87.21.83.7,IT,,526736,,IT,APPROVED,114385,johndoe@gmail.com,37058048,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.81E+15,326077434,visa,6/30/17 21:55,CEST,EUR,38.47,Payment,40,Ecommerce,John Doe,4937,95.232.118.172,IT,,402360,,IT,APPROVED,376022,johndoe@gmail.com,39561356,,,1,0,,,,,,,,,,,,,,visadebit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326077504,directdebit_NL,6/30/17 21:55,CEST,EUR,39.98,Payment,0,Ecommerce,John Doe,123456789,89.98.253.170,NL,ING Bank,,,NL,UNKNOWN,,johndoe@gmail.com,33963259,,,0,0,,,,,,,,,,,,,,directdebit_NL,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326077464,visa,6/30/17 21:55,CEST,EUR,23.96,Payment,0,Ecommerce,John Doe,75,84.248.211.169,FI,,424373,,FI,APPROVED,240531,johndoe@gmail.com,18896607,,,1,0,,,,,,,,,,,,,,visaclassic,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.81E+15,326077433,paypal,6/30/17 21:55,CEST,EUR,55.97,Payment,40,Ecommerce,John Doe,,82.236.233.239,FR,,,,,APPROVED,,johndoe@gmail.com,16504607,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326077346,directEbanking,6/30/17 21:55,CEST,EUR,69.95,Payment,0,Ecommerce,John Doe,123456789,91.115.129.104,AT,Raiffeisenbank Feldkirchen-Goldwí_rth reg.Gen.m.b.H.,34100,,AT,APPROVED,,johndoe@gmail.com,46354870,,,0,0,,,,,,,,,,,,,23931-75200-51D08C98-9A6A,directEbanking,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326077463,mc,6/30/17 21:54,CEST,EUR,29.95,Payment,0,Ecommerce,John Doe,4906,82.198.54.254,ES,,539723,,ES,APPROVED,961841,johndoe@gmail.com,13791389,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326077395,paypal,6/30/17 21:54,CEST,EUR,69.95,Payment,0,Ecommerce,John Doe,,94.69.70.239,GR,,,,,APPROVED,,johndoe@gmail.com,2257210,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326077501,mc,6/30/17 21:54,CEST,EUR,74.95,Payment,0,Ecommerce,John Doe,3104,62.225.75.34,DE,,548622,,DE,APPROVED,75375,johndoe@gmail.com,41352134,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.81E+15,326077454,directEbanking,6/30/17 21:54,CEST,EUR,44.95,Payment,0,Ecommerce,John Doe,123456789,77.23.201.167,DE,Sparkasse Bremen Gf P2,29050101,,DE,APPROVED,,johndoe@gmail.com,46349976,,,0,0,,,,,,,,,,,,,23931-75200-51D08C09-535A,directEbanking,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.81E+15,326077299,visa,6/30/17 21:54,CEST,EUR,44.95,Payment,0,Ecommerce,John Doe,4100,88.25.36.185,ES,,492167,,ES,APPROVED,909720,johndoe@gmail.com,34012636,,,1,0,,,,,,,,,,,,,,visaclassic,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.71E+15,326077345,mc,6/30/17 21:54,CEST,EUR,69.95,Payment,40,Ecommerce,John Doe,545,95.244.36.170,IT,,520956,,IT,APPROVED,89619,johndoe@gmail.com,31124865,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.41E+15,326077343,visa,6/30/17 21:53,CEST,DKK,419.97,Payment,0,Ecommerce,John Doe,1699,178.155.240.3,DK,,457171,,DK,DECLINED,,johndoe@gmail.com,46349426,,,2,0,,,,,,,,,,,,,,visadankort,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326077421,visa,6/30/17 21:53,CEST,EUR,55.97,Payment,40,Ecommerce,John Doe,5903,82.242.128.81,FR,,497533,,FR,APPROVED,765083,johndoe@gmail.com,34208300,,,1,0,,,,,,,,,,,,,,visagold,,,,,,,,
